bic,name,street,phone,country/id
0040037,臺灣銀行營業部,台北市中正區重慶南路一段120號,02-23493456,base.tw
0040059,臺灣銀行公庫部,台北市中正區貴陽街一段120號,02-23615421,base.tw
0040071,臺灣銀行館前分行,台北市中正區館前路49號1、2樓,02-23812949,base.tw
0040082,臺灣銀行信託部,台北市中正區武昌街一段49號,02-23493456,base.tw
0040093,臺灣銀行臺南分行,台南市中西區府前路一段155號一樓及部分二樓,06-2160168,base.tw
0040107,臺灣銀行臺中分行,台中市西區自由路一段140號一至六樓及地下一樓,04-22224001,base.tw
0040118,臺灣銀行高雄分行,高雄市前金區中正四路264號一至三樓及地下一樓,07-2515131,base.tw
0040129,臺灣銀行基隆分行,基隆市中正區義一路16號一、二樓及部分三樓,02-24247113,base.tw
0040130,臺灣銀行中興新村分行,南投縣南投市中興新村光華路11號一、二樓,049-2332101,base.tw
0040141,臺灣銀行嘉義分行,嘉義市中山路306號一至四樓及地下一樓,05-2224471,base.tw
0040152,臺灣銀行新竹分行,新竹市林森路29號一至三樓及地下一樓,03-5266161,base.tw
0040163,臺灣銀行彰化分行,彰化縣彰化市成功路130號一至四樓及地下一樓,04-7225191,base.tw
0040174,臺灣銀行屏東分行,屏東縣屏東市中山路43號一、二樓及地下一樓,08-7328141,base.tw
0040185,臺灣銀行花蓮分行,花蓮縣花蓮市公園路3號一至三樓及部分地下一樓,03-8322151,base.tw
0040196,臺灣銀行延平分行,台北市大同區南京西路406號一至三及十樓,02-25522859,base.tw
0040200,臺灣銀行中山分行,台北市中山區中山北路一段150號一至三樓,02-25423434,base.tw
0040211,臺灣銀行高雄加工出口區分行,高雄市前鎮區高雄加工出口區中一路1號一、二樓及地下一樓,07-8215141,base.tw
0040222,臺灣銀行宜蘭分行,宜蘭縣宜蘭市舊城南路50號,03-9355121,base.tw
0040233,臺灣銀行臺東分行,臺東縣臺東市中華路1段373號,089-324201,base.tw
0040244,臺灣銀行澎湖分行,澎湖縣馬公市仁愛路24號一至四樓及地下一樓,06-9279935,base.tw
0040255,臺灣銀行鳳山分行,高雄市鳳山區曹公路20號1-3樓,07-7416131,base.tw
0040266,臺灣銀行桃園分行,桃園縣桃園市中正路46號一至四樓及地下一樓,03-3352801,base.tw
0040277,臺灣銀行板橋分行,新北市板橋區府中路21號一至五樓及地下一樓,02-29680172,base.tw
0040288,臺灣銀行新營分行,台南市新營區中正路10號一至三樓,06-6351111,base.tw
0040299,臺灣銀行苗栗分行,苗栗縣苗栗市中正路510號一至四樓及地下一樓,037-326791,base.tw
0040303,臺灣銀行豐原分行,台中市豐原區中正路302號一、二樓,04-25278686,base.tw
0040314,臺灣銀行斗六分行,雲林縣斗六市文化路27號一、二樓,05-5324155,base.tw
0040325,臺灣銀行南投分行,南投縣南投市復興路101號一至三樓,049-2232121,base.tw
0040336,臺灣銀行南門分行,台北市中正區南昌路一段120號一至三樓、部分四樓及地下一樓,02-23512121,base.tw
0040347,臺灣銀行公館分行,台北市中正區羅斯福路四段120號一至四樓,02-23672581,base.tw
