"id","bic","name","street","phone","country/id"
"bank_40037",40037,"臺灣銀行營業部","台北市中正區重慶南路一段120號","02-23493456","base.tw"
"bank_40059",40059,"臺灣銀行公庫部","台北市中正區貴陽街一段120號","02-23615421","base.tw"
"bank_40071",40071,"臺灣銀行館前分行","台北市中正區館前路49號1、2樓","02-23812949","base.tw"
"bank_40082",40082,"臺灣銀行信託部","台北市中正區武昌街一段49號","02-23493456","base.tw"
"bank_40093",40093,"臺灣銀行臺南分行","台南市中西區府前路一段155號一樓及部分二樓","06-2160168","base.tw"
"bank_40107",40107,"臺灣銀行臺中分行","台中市西區自由路一段140號一至六樓及地下一樓","04-22224001","base.tw"
"bank_40118",40118,"臺灣銀行高雄分行","高雄市前金區中正四路264號一至三樓及地下一樓","07-2515131","base.tw"
"bank_40129",40129,"臺灣銀行基隆分行","基隆市中正區義一路16號一、二樓及部分三樓","02-24247113","base.tw"
"bank_40130",40130,"臺灣銀行中興新村分行","南投縣南投市中興新村光華路11號一、二樓","049-2332101","base.tw"
"bank_40141",40141,"臺灣銀行嘉義分行","嘉義市中山路306號一至四樓及地下一樓","05-2224471","base.tw"
"bank_40152",40152,"臺灣銀行新竹分行","新竹市林森路29號一至三樓及地下一樓","03-5266161","base.tw"
"bank_40163",40163,"臺灣銀行彰化分行","彰化縣彰化市成功路130號一至四樓及地下一樓","04-7225191","base.tw"
"bank_40174",40174,"臺灣銀行屏東分行","屏東縣屏東市中山路43號一、二樓及地下一樓","08-7328141","base.tw"
"bank_40185",40185,"臺灣銀行花蓮分行","花蓮縣花蓮市公園路3號一至三樓及部分地下一樓","03-8322151","base.tw"
"bank_40196",40196,"臺灣銀行延平分行","台北市大同區南京西路406號一至三及十樓","02-25522859","base.tw"
"bank_40200",40200,"臺灣銀行中山分行","台北市中山區中山北路一段150號一至三樓","02-25423434","base.tw"
"bank_40211",40211,"臺灣銀行高雄加工出口區分行","高雄市前鎮區高雄加工出口區中一路1號一、二樓及地下一樓","07-8215141","base.tw"
"bank_40222",40222,"臺灣銀行宜蘭分行","宜蘭縣宜蘭市舊城南路50號","03-9355121","base.tw"
"bank_40233",40233,"臺灣銀行臺東分行","臺東縣臺東市中華路1段373號","089-324201","base.tw"
"bank_40244",40244,"臺灣銀行澎湖分行","澎湖縣馬公市仁愛路24號一至四樓及地下一樓","06-9279935","base.tw"
"bank_40255",40255,"臺灣銀行鳳山分行","高雄市鳳山區曹公路20號1-3樓","07-7416131","base.tw"
"bank_40266",40266,"臺灣銀行桃園分行","桃園縣桃園市中正路46號一至四樓及地下一樓","03-3352801","base.tw"
"bank_40277",40277,"臺灣銀行板橋分行","新北市板橋區府中路21號一至五樓及地下一樓","02-29680172","base.tw"
"bank_40288",40288,"臺灣銀行新營分行","台南市新營區中正路10號一至三樓","06-6351111","base.tw"
"bank_40299",40299,"臺灣銀行苗栗分行","苗栗縣苗栗市中正路510號一至四樓及地下一樓","037-326791","base.tw"
"bank_40303",40303,"臺灣銀行豐原分行","台中市豐原區中正路302號一、二樓","04-25278686","base.tw"
"bank_40314",40314,"臺灣銀行斗六分行","雲林縣斗六市文化路27號一、二樓","05-5324155","base.tw"
"bank_40325",40325,"臺灣銀行南投分行","南投縣南投市復興路101號一至三樓","049-2232121","base.tw"
"bank_40336",40336,"臺灣銀行南門分行","台北市中正區南昌路一段120號一至三樓、部分四樓及地下一樓","02-23512121","base.tw"
"bank_40347",40347,"臺灣銀行公館分行","台北市中正區羅斯福路四段120號一至四樓","02-23672581","base.tw"
"bank_40358",40358,"臺灣銀行左營分行","高雄市左營區左營大路19號一、二樓及地下一樓","07-5819141","base.tw"
"bank_40369",40369,"臺灣銀行北投分行","台北市北投區中央南路一段152號一至三樓","02-28951200","base.tw"
"bank_40370",40370,"臺灣銀行霧峰分行","台中市霧峰區中正路838號一至三樓及地下一樓","04-23302216","base.tw"
"bank_40381",40381,"臺灣銀行金門分行","金門縣金湖鎮復興路4號一、二樓及地下一樓","082-333711","base.tw"
"bank_40392",40392,"臺灣銀行馬祖分行","連江縣南竿鄉介壽村257號一至三樓及地下一樓","0836-26046","base.tw"
"bank_40406",40406,"臺灣銀行安平分行","台南市中西區中正路240號一至四樓","06-2292181","base.tw"
"bank_40417",40417,"臺灣銀行中壢分行","桃園縣中壢市延平路580號一至四樓及部分地下一樓","03-4252160","base.tw"
"bank_40428",40428,"臺灣銀行三重分行","新北市三重區重新路四段39號一至三樓及部分地下一樓","02-29719621","base.tw"
"bank_40439",40439,"臺灣銀行頭份分行","苗栗縣頭份鎮中正路六十五號一、二、三樓","037-663451","base.tw"
"bank_40440",40440,"臺灣銀行前鎮分行","高雄市前鎮區擴建路1-3號一、二樓及地下一樓","07-8115171","base.tw"
"bank_40451",40451,"臺灣銀行城中分行","台北市中正區青島東路47號一、二樓、部分三樓及地下一樓","02-23218934","base.tw"
"bank_40462",40462,"臺灣銀行民權分行","台北市大同區承德路二段239號1至3樓","02-25530121","base.tw"
"bank_40473",40473,"臺灣銀行潭子分行","台中市潭子區建國路1號一樓及地下一樓","04-25323133","base.tw"
"bank_40484",40484,"臺灣銀行連城分行","新北市中和區建一路186號一、二樓","02-82272611","base.tw"
"bank_40495",40495,"臺灣銀行員林分行","彰化縣員林鎮民生路63號一至四樓及地下一樓","04-8323191","base.tw"
"bank_40509",40509,"臺灣銀行松江分行","台北市中山區松江路115號一至三樓及地下一樓","02-25069421","base.tw"
"bank_40510",40510,"臺灣銀行鼓山分行","高雄市鼓山區臨海一路23號一、二樓及地下一樓","07-5218291","base.tw"
"bank_40521",40521,"臺灣銀行龍山分行","台北市萬華區康定路380號1至6樓及地下一樓","02-23088111","base.tw"
"bank_40532",40532,"臺灣銀行忠孝分行","台北市大安區敦化南路一段202號一、二樓及三樓309室","02-27516091","base.tw"
"bank_40543",40543,"臺灣銀行信義分行","台北市大安區信義路二段88號一至三樓及地下一樓","02-23515486","base.tw"
"bank_40554",40554,"臺灣銀行復興分行","台中市東區復興路四段102號一至三樓","04-22244181","base.tw"
"bank_40565",40565,"臺灣銀行三民分行","高雄市三民區九如二路567號一至三樓","07-3127143","base.tw"
"bank_40576",40576,"臺灣銀行臺中港分行","台中市梧棲區四維路2號一、二、三、十樓及地下室一、二層","04-26562311","base.tw"
"bank_40587",40587,"臺灣銀行羅東分行","宜蘭縣羅東鎮公正路93號一至五樓","03-9576866","base.tw"
"bank_40598",40598,"臺灣銀行埔裡分行","南投縣埔裡鎮東榮路112號","049-2983991","base.tw"
"bank_40602",40602,"臺灣銀行岡山分行","高雄市岡山區壽天路16號一至四樓及地下一樓","07-6216141","base.tw"
"bank_40613",40613,"臺灣銀行新興分行","高雄市新興區民族二路133號一至三樓及地下一樓","07-2384611","base.tw"
"bank_40624",40624,"臺灣銀行苓雅分行","高雄市苓雅區青年一路261號一至三樓及地下一樓","07-3358700","base.tw"
